id,service_specialty_assignment_id,pas_code,name,last_modified_user_id,last_modified_date,created_user_id,created_date
64,14,SLOJ,"Sloper John",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
65,14,BARJ,"Barnes Jonathan",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
66,8,CLAJ,"Clarke Jonathan",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
67,9,DOWJ,"Dowler Jonathan",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
68,5,STEJ,"Stevens Julian",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
69,7,STEJ,"Stevens Julian",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
70,13,STEJ,"Stevens Julian",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
71,8,BARK,"Barton Keith",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
72,5,FICL,"Ficker Linda",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
73,7,FICL,"Ficker Linda",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
74,13,FICL,"Ficker Linda",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
75,9,WICL,"Wickham Louisa",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
76,16,WICL,"Wickham Louisa",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
77,9,DACL,"daCruz Lyndon",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
78,16,DACL,"daCruz Lyndon",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
79,10,SAGM,"Sagoo Mandeep",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
80,8,PAPM,"Papadopoulos Maria",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
81,9,WESM,"Westcott Mark",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
82,5,WILM,"Wilkins Mark",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
83,7,WILM,"Wilkins Mark",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
84,13,WILM,"Wilkins Mark",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
85,14,HINM,"Hingorani Melanie",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
