id,drug_id,drug_set_id,frequency_id,duration_id,last_modified_user_id,last_modified_date,created_user_id,created_date,dose
64,887,20,8,5,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
65,279,20,3,7,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
66,650,21,3,3,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
67,279,21,3,3,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
68,769,21,3,3,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
69,889,21,4,7,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
70,397,21,8,9,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
71,822,21,19,4,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
72,650,22,8,7,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
73,279,22,3,4,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
74,397,22,8,9,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
75,769,22,3,4,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
76,889,22,8,10,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
77,822,22,19,4,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
78,297,22,9,4,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
79,304,22,9,2,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
80,650,23,3,3,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
81,279,23,3,3,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
82,769,23,3,3,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
83,889,23,4,7,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
84,822,23,19,4,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
85,397,19,8,10,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
86,305,19,9,4,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",NULL
