id,name,last_modified_user_id,created_user_id,last_modified_date,created_date,display_order
1,Undefined,1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",7
2,"24 hours",1,1,"2013-10-09 09:48:21","2013-10-09 09:48:21",1
3,"48 hours",1,1,"2013-10-09 09:48:21","2013-10-09 09:48:21",2
4,"1 day",1,1,"2013-10-09 09:48:21","2013-10-09 09:48:21",3
5,"3 days",1,1,"2013-10-09 09:48:21","2013-10-09 09:48:21",4
6,"4 days",1,1,"2013-10-09 09:48:21","2013-10-09 09:48:21",5
7,"6 weeks",1,1,"2013-10-09 09:48:21","2013-10-09 09:48:21",6
